DistType,Story,MapSentenceIndex,PerturbationID,AnchorDistWordIndex,Distance,AtBoundary,EndDistance,N_K_Spans,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord
CD,Story15,1,CD_Story15_s1_k14,14,4,1,4,1,18,18,away.,away.
CD,Story15,2,CD_Story15_s2_k29,29,0,0,7,1,29,29,"shadow,","nature,"
CD,Story15,2,CD_Story15_s2_k29,29,1,0,7,1,30,30,they,they
CD,Story15,2,CD_Story15_s2_k29,29,2,0,7,1,31,31,gained,gained
CD,Story15,2,CD_Story15_s2_k29,29,3,0,7,1,32,32,enough,enough
CD,Story15,2,CD_Story15_s2_k29,29,4,0,7,1,33,33,confidence,confidence
CD,Story15,2,CD_Story15_s2_k29,29,5,0,7,1,34,34,to,to
CD,Story15,2,CD_Story15_s2_k29,29,6,0,7,1,35,35,approach,approach
CD,Story15,2,CD_Story15_s2_k29,29,7,1,7,1,36,36,it.,it.
CD,Story16,2,CD_Story16_s2_k34,34,0,0,4,1,34,34,"emotions,","water,"
CD,Story16,2,CD_Story16_s2_k34,34,1,0,4,1,35,35,which,which
CD,Story16,2,CD_Story16_s2_k34,34,2,0,4,1,36,36,he,he
CD,Story16,2,CD_Story16_s2_k34,34,3,0,4,1,37,37,couldn’t,couldn’t
CD,Story16,2,CD_Story16_s2_k34,34,4,1,4,1,38,38,reach.,reach.
CD,Story16,4,CD_Story16_s4_k79,79,0,0,10,1,79,79,"lips,","beak,"
CD,Story16,4,CD_Story16_s4_k79,79,1,0,10,1,80,80,raising,raising
CD,Story16,4,CD_Story16_s4_k79,79,2,0,10,1,81,81,the,the
CD,Story16,4,CD_Story16_s4_k79,79,3,0,10,1,82,82,water,water
CD,Story16,4,CD_Story16_s4_k79,79,4,0,10,1,83,83,level,level
CD,Story16,4,CD_Story16_s4_k79,79,5,0,10,1,84,84,within,within
CD,Story16,4,CD_Story16_s4_k79,79,6,0,10,1,85,85,reach,reach
CD,Story16,4,CD_Story16_s4_k79,79,7,0,10,1,86,86,and,and
CD,Story16,4,CD_Story16_s4_k79,79,8,0,10,1,87,87,saving,saving
CD,Story16,4,CD_Story16_s4_k79,79,9,0,10,1,88,88,his,his
CD,Story16,4,CD_Story16_s4_k79,79,10,1,10,1,89,89,life.,life.
CD,Story17,2,CD_Story17_s2_k36,36,0,0,3,1,36,36,"blinking,","sleeping,"
CD,Story17,2,CD_Story17_s2_k36,36,1,0,3,1,37,37,with,with
CD,Story17,2,CD_Story17_s2_k36,36,2,0,3,1,38,38,feigned,feigned
CD,Story17,2,CD_Story17_s2_k36,36,3,1,3,1,39,39,indignation.,indignation.
CD,Story17,3,CD_Story17_s3_k58,58,0,0,6,1,58,58,"past,","work,"
CD,Story17,3,CD_Story17_s3_k58,58,1,0,6,1,59,59,with,with
CD,Story17,3,CD_Story17_s3_k58,58,2,0,6,1,60,60,a,a
CD,Story17,3,CD_Story17_s3_k58,58,3,0,6,1,61,61,tone,tone
CD,Story17,3,CD_Story17_s3_k58,58,4,0,6,1,62,62,of,of
CD,Story17,3,CD_Story17_s3_k58,58,5,0,6,1,63,63,quiet,quiet
CD,Story17,3,CD_Story17_s3_k58,58,6,1,6,1,64,64,pride.,pride.
CD,Story18,3,CD_Story18_s3_k33,33,0,0,5,1,33,33,mirrors,holes
CD,Story18,3,CD_Story18_s3_k33,33,1,0,5,1,34,34,and,and
CD,Story18,3,CD_Story18_s3_k33,33,2,0,5,1,35,35,refused,refused
CD,Story18,3,CD_Story18_s3_k33,33,3,0,5,1,36,36,to,to
CD,Story18,3,CD_Story18_s3_k33,33,4,0,5,1,37,37,come,come
CD,Story18,3,CD_Story18_s3_k33,33,5,1,5,1,38,38,out.,out.
CD,Story18,5,CD_Story18_s5_k58,58,0,0,9,1,58,58,"thought,","peg,"
CD,Story18,5,CD_Story18_s5_k58,58,1,0,9,1,59,59,hung,hung
CD,Story18,5,CD_Story18_s5_k58,58,2,0,9,1,60,60,herself,herself
