DistType,Model,Bootstrap,Metric,Estimate
CD,log_normal,44,EffectAtKPlus1,0.06663286911193891
CD,log_normal,44,EffectAtKPlus10,0.02587893706799962
CD,log_normal,44,LocalComponentAtKPlus10,2.462905917405278e-09
CD,log_normal,45,Baseline,0.06795809051708361
CD,log_normal,45,Amplitude,-0.07186693997984415
CD,log_normal,45,PeakDistance,5.248567643418349
CD,log_normal,45,PeakEffect,-0.003908849462760544
CD,log_normal,45,HalfMaximumLow,3.011033478895283
CD,log_normal,45,HalfMaximumHigh,9.148839592990818
CD,log_normal,45,EffectAtKPlus1,0.06780790460324294
CD,log_normal,45,EffectAtKPlus10,0.039683282900312394
CD,log_normal,45,LocalComponentAtKPlus10,-0.028274807616771216
CD,log_normal,46,Baseline,0.006623235944512527
CD,log_normal,46,Amplitude,0.08952396788028705
CD,log_normal,46,PeakDistance,1.4382990998924325
CD,log_normal,46,PeakEffect,0.09614720382479958
CD,log_normal,46,HalfMaximumLow,0.86873128412211
CD,log_normal,46,HalfMaximumHigh,2.3812936618737
CD,log_normal,46,EffectAtKPlus1,0.06906835192718665
CD,log_normal,46,EffectAtKPlus10,0.00662639107702462
CD,log_normal,46,LocalComponentAtKPlus10,3.1551325120927898e-06
CD,log_normal,47,Baseline,0.016669941307219098
CD,log_normal,47,Amplitude,0.07277263071399956
CD,log_normal,47,PeakDistance,1.3797873776974168
CD,log_normal,47,PeakEffect,0.08944257202121866
CD,log_normal,47,HalfMaximumLow,0.7195989048829352
CD,log_normal,47,HalfMaximumHigh,2.645658845135163
CD,log_normal,47,EffectAtKPlus1,0.07809569592294698
CD,log_normal,47,EffectAtKPlus10,0.016788886110814968
CD,log_normal,47,LocalComponentAtKPlus10,0.0001189448035958697
CD,log_normal,48,Baseline,0.013589049362996913
CD,log_normal,48,Amplitude,0.08038398440152879
CD,log_normal,48,PeakDistance,1.598991401300801
CD,log_normal,48,PeakEffect,0.0939730337645257
CD,log_normal,48,HalfMaximumLow,1.0740061438708446
CD,log_normal,48,HalfMaximumHigh,2.3805948560210153
CD,log_normal,48,EffectAtKPlus1,0.044240006688471764
CD,log_normal,48,EffectAtKPlus10,0.013589082312763331
CD,log_normal,48,LocalComponentAtKPlus10,3.294976641879388e-08
CD,log_normal,49,Baseline,0.016134726732773056
CD,log_normal,49,Amplitude,0.08578492652416277
CD,log_normal,49,PeakDistance,1.5742038624508492
CD,log_normal,49,PeakEffect,0.10191965325693582
CD,log_normal,49,HalfMaximumLow,0.9583732635684441
CD,log_normal,49,HalfMaximumHigh,2.5857543138547636
CD,log_normal,49,EffectAtKPlus1,0.06419133338514241
CD,log_normal,49,EffectAtKPlus10,0.016140419892668838
CD,log_normal,49,LocalComponentAtKPlus10,5.693159895781702e-06
CD,log_normal,50,Baseline,0.0150486310513415
CD,log_normal,50,Amplitude,0.10421154955855995
CD,log_normal,50,PeakDistance,1.4678656363456222
CD,log_normal,50,PeakEffect,0.11926018060990146
CD,log_normal,50,HalfMaximumLow,0.8740516888853999
CD,log_normal,50,HalfMaximumHigh,2.465105386515464
CD,log_normal,50,EffectAtKPlus1,0.08632106551054572
CD,log_normal,50,EffectAtKPlus10,0.015056469416871505
CD,log_normal,50,LocalComponentAtKPlus10,7.838365530005165e-06
CD,log_normal,51,Baseline,0.06601955674055551
CD,log_normal,51,Amplitude,-0.08390010527454785
CD,log_normal,51,PeakDistance,4.69518634611908
CD,log_normal,51,PeakEffect,-0.017880548533992333
CD,log_normal,51,HalfMaximumLow,3.2163975919017056
CD,log_normal,51,HalfMaximumHigh,6.853871200590284
CD,log_normal,51,EffectAtKPlus1,0.06601877677590925
CD,log_normal,51,EffectAtKPlus10,0.060756385736139666
CD,log_normal,51,LocalComponentAtKPlus10,-0.005263171004415847
CD,log_normal,52,Baseline,0.02163601155375099
CD,log_normal,52,Amplitude,0.06365445457035744
CD,log_normal,52,PeakDistance,1.5378642173479382
CD,log_normal,52,PeakEffect,0.08529046612410843
CD,log_normal,52,HalfMaximumLow,1.0001780810059615
CD,log_normal,52,HalfMaximumHigh,2.364605259715834
CD,log_normal,52,EffectAtKPlus1,0.05344497839346675
CD,log_normal,52,EffectAtKPlus10,0.021636138327776385
CD,log_normal,52,LocalComponentAtKPlus10,1.2677402539545968e-07
CD,log_normal,53,Baseline,0.014485140478370689
CD,log_normal,53,Amplitude,0.07673781682728327
CD,log_normal,53,PeakDistance,1.5708009389765822
CD,log_normal,53,PeakEffect,0.09122295730565395
CD,log_normal,53,HalfMaximumLow,0.9891879284912738
CD,log_normal,53,HalfMaximumHigh,2.49438505952358
CD,log_normal,53,EffectAtKPlus1,0.05410981421548412
CD,log_normal,53,EffectAtKPlus10,0.01448629504411332
CD,log_normal,53,LocalComponentAtKPlus10,1.1545657426313e-06
CD,log_normal,54,Baseline,0.009620625373305953
CD,log_normal,54,Amplitude,0.11168738100005615
CD,log_normal,54,PeakDistance,1.538437083969335
CD,log_normal,54,PeakEffect,0.1213080063733621
CD,log_normal,54,HalfMaximumLow,0.9127806014717827
CD,log_normal,54,HalfMaximumHigh,2.592943646606666
CD,log_normal,54,EffectAtKPlus1,0.07928732127194255
CD,log_normal,54,EffectAtKPlus10,0.009635679052980036
CD,log_normal,54,LocalComponentAtKPlus10,1.5053679674083623e-05
CD,log_normal,55,Baseline,0.01746096136340295
CD,log_normal,55,Amplitude,0.07407853070381208
CD,log_normal,55,PeakDistance,1.4653386831463178
CD,log_normal,55,PeakEffect,0.09153949206721504
CD,log_normal,55,HalfMaximumLow,0.9316563284401325
