Participant,Story,Story_Version,Word,RT,Word_Condition,WordIndex,SentenceIndex,log_RT,N_Observations,RT_Replaced,StoryNumber,VersionOrder,FreqH,Length,prev_index,lag1_logRT,item_uid,resid_logRT,PositionInSentence,SentenceLength,RelativePosition,RelativeBin,DistType,MapSentenceIndex,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,Offset,ItemID,Condition
P096,Story7,CD,but,373.3999999761563,K+1,25,2,5.922650231043766,1,False,7,1,7.871548214816321,3,24.0,7.243655923738471,Story7_CD_w25,-0.616727498898336,11,17,0.6875,0.65,CD,2,K+1,25,25,but,but,1,CD_Story7_s2_d25_o25_K+1,CD
P096,Story7,CD,ended,255.1999999284744,K+2,26,2,5.542047551190362,1,False,7,1,13.553056946070445,5,25.0,5.922650231043766,Story7_CD_w26,-0.4504434612828083,12,17,0.75,0.75,CD,2,K+2,26,26,ended,ended,2,CD_Story7_s2_d26_o26_K+2,CD
P096,Story7,CD,up,254.2000000476837,K+3,27,2,5.538121358942937,1,False,7,1,8.673002535434241,2,26.0,5.542047551190362,Story7_CD_w27,-0.29680292130797437,13,17,0.8125,0.85,CD,2,K+3,27,27,up,up,3,CD_Story7_s2_d27_o27_K+3,CD
P096,Story7,CD,instead.,809.2999999523163,K_END,30,2,6.696169676442736,1,False,7,1,12.488625073475445,7,29.0,5.963065072463641,Story7_CD_w30,0.6869472145266364,16,17,1.0,0.95,CD,2,K_END,30,30,instead.,instead.,4,CD_Story7_s2_d30_o30_K_END,CD
P096,Story7,CD,wanted,429.299999976065,K-3,39,3,6.062155975174761,1,False,7,1,12.09236478122723,6,38.0,6.1512422226987695,Story7_CD_w39,-0.02497045382025398,8,41,0.2,0.15,CD,3,K-3,39,39,wanted,wanted,-3,CD_Story7_s3_d39_o39_K-3,CD
P096,Story7,CD,to,405.5,K-2,40,3,6.005120873555468,1,False,7,1,5.216250016992825,2,39.0,6.062155975174761,Story7_CD_w40,-0.045124499022109354,9,41,0.225,0.25,CD,3,K-2,40,40,to,to,-2,CD_Story7_s3_d40_o40_K-2,CD
P096,Story7,CD,take,374.8999999761563,K-1,41,3,5.926659323678266,1,False,7,1,10.231128851183081,4,40.0,6.005120873555468,Story7_CD_w41,-0.0999739330109568,10,41,0.25,0.25,CD,3,K-1,41,41,take,take,-1,CD_Story7_s3_d41_o41_K-1,CD
P096,Story7,CD,notes,349.6999999762047,K,42,3,5.857075644001285,1,False,7,1,13.818868436574812,5,41.0,5.926659323678266,Story7_CD_w42,-0.13707510356843766,11,41,0.275,0.25,CD,3,K,42,42,notes,revenge,0,CD_Story7_s3_d42_o42_K,CD
P096,Story7,CD,on,416.0999999761116,K+1,43,3,6.030925615931485,1,False,7,1,6.942528932361784,2,42.0,5.857075644001285,Story7_CD_w43,0.06558200399970726,12,41,0.3,0.25,CD,3,K+1,43,43,on,on,1,CD_Story7_s3_d43_o43_K+1,CD
P096,Story7,CD,a,382.2999999523163,K+2,44,3,5.946205640577638,1,False,7,1,5.448508591452505,1,43.0,6.030925615931485,Story7_CD_w44,-0.09111059115945519,13,41,0.325,0.35,CD,3,K+2,44,44,a,a,2,CD_Story7_s3_d44_o44_K+2,CD
P096,Story7,CD,tiny,445.1999999762047,K+3,45,3,6.098523619347941,1,False,7,1,14.549593090766873,4,44.0,5.946205640577638,Story7_CD_w45,0.09628083921028985,14,41,0.35,0.35,CD,3,K+3,45,45,tiny,tiny,3,CD_Story7_s3_d45_o45_K+3,CD
P096,Story7,CD,harm.,1205.0,K_END,71,3,7.094234845924755,1,False,7,1,15.048925519962333,4,70.0,6.082447194874273,Story7_CD_w71,1.035589056455506,40,41,1.0,0.95,CD,3,K_END,71,71,harm.,harm.,4,CD_Story7_s3_d71_o71_K_END,CD
P096,Story7,CD,that,454.1999999284744,K-3,78,4,6.118537629513982,1,False,7,1,6.6152870375779536,4,77.0,6.025624398697083,Story7_CD_w78,0.08341606302923754,6,24,0.2608695652173913,0.25,CD,4,K-3,78,78,that,that,-3,CD_Story7_s4_d78_o78_K-3,CD
